DEPARTAMENTO,HORA,MODALIDAD,FALLECIDOS,HERIDOS
ANCASH,17:00,DESPISTE,1,2
PUNO,20:30,ATROPELLO,1,0
ICA,04:35,ATROPELLO,1,1
LAMBAYEQUE,18:45,DESPISTE,0,2
CUSCO,15:15,CHOQUE,0,6
PIURA,07:50,CHOQUE,0,1
PUNO,04:10,ATROPELLO,1,0
CUSCO,10:00,CHOQUE,0,0
LIMA,08:00,ATROPELLO,1,0
LIMA,18:15,CHOQUE,0,1
UCAYALI,21:10,CHOQUE,0,1
JUNIN,02:20,DESPISTE,0,0
LIMA,07:50,DESPISTE,0,2
AMAZONAS,21:45,VOLCADURA,2,2
SAN MARTIN,02:50,DESPISTE,0,1
LAMBAYEQUE,19:15,DESPISTE,0,6
CUSCO,06:30,DESPISTE,0,0
AREQUIPA,06:30,CHOQUE,7,5
PIURA,08:50,DESPISTE,0,1
CUSCO,11:00,DESPISTE,0,1
PUNO,11:00,DESPISTE,0,2
PIURA,19:00,DESPISTE,0,1
LIMA,06:20,DESPISTE,1,0
JUNIN,23:45,CHOQUE,0,2
JUNIN,08:15,CHOQUE,0,9
AREQUIPA,12:20,CHOQUE,0,1
HUANCAVELICA,08:40,DESPISTE,0,0
ICA,02:30,CHOQUE,0,1
PUNO,10:40,DESPISTE,0,1
MADRE DE DIOS,16:45,CHOQUE,1,0
AREQUIPA,20:30,CHOQUE,0,0
APURIMAC,17:00,CHOQUE,0,4
SAN MARTIN,15:00,DESPISTE,0,1
LA LIBERTAD,15:45,CHOQUE,2,2
ANCASH,11:20,CHOQUE,1,0
JUNIN,00:15,CHOQUE,0,0
ANCASH,19:20,DESPISTE,0,0
TACNA,10:38,DESPISTE,0,2
AREQUIPA,07:30,DESPISTE,0,3
LIMA,06:00,DESPISTE,0,0
AREQUIPA,05:50,CHOQUE,0,0
LIMA,12:20,DESPISTE,0,0
JUNIN,11:00,ATROPELLO,1,0
ANCASH,10:50,CHOQUE,0,4
MOQUEGUA,19:30,CHOQUE,0,0
LIMA,N.I.,ATROPELLO,1,0
ICA,02:15,CHOQUE,0,2
HUANUCO,19:40,DESPISTE,1,1
ANCASH,09:10,CHOQUE,0,1
CUSCO,12:45,DESPISTE,0,5
TACNA,05:00,CHOQUE,0,2
PIURA,16:00,CHOQUE,0,2
AREQUIPA,07:00,CHOQUE,0,0
LIMA,23:20,DESPISTE,0,0
LIMA,11:15,CHOQUE,0,1
CUSCO,20:30,CHOQUE,0,0
LIMA,09:30,DESPISTE,0,0
